,ID,Name,Type,Breed,Gender,Age,URL
39,46665355,Ghost,Dog,Maltese,Male,Adult,https://www.petfinder.com/dog/ghost-46665355/tx/cedar-hill/tri-city-animal-shelter-tx401/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
40,46665356,Joey,Dog,Labrador Retriever,Male,Baby,https://www.petfinder.com/dog/joey-46665356/tx/cedar-hill/tri-city-animal-shelter-tx401/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
41,46665354,Lindy Hop,Dog,Labrador Retriever,Female,Baby,https://www.petfinder.com/dog/lindy-hop-46665354/mi/ann-arbor/humane-society-of-huron-valley-mi175/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
42,46665353,Ireland,Cat,Domestic Short Hair,Female,Adult,https://www.petfinder.com/cat/ireland-46665353/nv/reno/nevada-humane-society-nv36/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
43,46665342,Sonny,Dog,Labrador Retriever,Male,Adult,https://www.petfinder.com/dog/sonny-46665342/mn/woodbury/animal-humane-society-woodbury-mn427/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
44,46665343,Harris,Cat,Domestic Short Hair,Male,Adult,https://www.petfinder.com/cat/harris-46665343/mn/woodbury/animal-humane-society-woodbury-mn427/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
45,46665344,Drum,Dog,Labrador Retriever,Female,Adult,https://www.petfinder.com/dog/drum-46665344/mn/woodbury/animal-humane-society-woodbury-mn427/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
46,46665345,Bessie,Dog,Cattle Dog,Female,Adult,https://www.petfinder.com/dog/bessie-46665345/mn/woodbury/animal-humane-society-woodbury-mn427/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
47,46665346,Cadbury,Dog,Australian Cattle Dog / Blue Heeler,Female,Adult,https://www.petfinder.com/dog/cadbury-46665346/mn/woodbury/animal-humane-society-woodbury-mn427/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
48,46665347,Gary,Cat,Domestic Short Hair,Male,Adult,https://www.petfinder.com/cat/gary-46665347/mn/woodbury/animal-humane-society-woodbury-mn427/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
49,46665348,Melon,Dog,Pit Bull Terrier,Male,Adult,https://www.petfinder.com/dog/melon-46665348/mn/woodbury/animal-humane-society-woodbury-mn427/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
50,46665349,Ross,Dog,Labrador Retriever,Male,Baby,https://www.petfinder.com/dog/ross-46665349/mn/woodbury/animal-humane-society-woodbury-mn427/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
51,46665350,Novi,Dog,Hound,Male,Young,https://www.petfinder.com/dog/novi-46665350/mn/woodbury/animal-humane-society-woodbury-mn427/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
52,46665352,Bane**,Dog,Pit Bull Terrier,Male,Adult,https://www.petfinder.com/dog/bane-star-star-46665352/ky/owensboro/daviess-county-animal-control-ky167/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
53,46665341,Tic Tac,Dog,Cattle Dog,Female,Adult,https://www.petfinder.com/dog/tic-tac-46665341/pa/west-chester/brandywine-valley-spca-pennsylvania-pa174/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
54,46665339,Catalina,Cat,Domestic Short Hair,Female,Young,https://www.petfinder.com/cat/catalina-46665339/pa/new-hope/bucks-county-spca-lahaska-pa86/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
55,46665340,Dudley,Cat,Domestic Long Hair,Male,Adult,https://www.petfinder.com/cat/dudley-46665340/pa/new-hope/bucks-county-spca-lahaska-pa86/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
56,46665338,Dottie,Cat,Domestic Short Hair,Female,Baby,https://www.petfinder.com/cat/dottie-46665338/il/normal/pet-central-helps-il868/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
57,46665337,Blanche,Dog,Mixed Breed,Female,Baby,https://www.petfinder.com/dog/blanche-46665337/oh/maumee/toledo-area-humane-society-oh63/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
58,46665264,Cher,Dog,Boxer,Female,Baby,https://www.petfinder.com/dog/cher-46665264/tx/bandera/cowboy-capital-pet-assistance-league-inc-tx364/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
59,46665336,Skittles,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/skittles-46665336/nj/mount-holly/burlington-county-animal-shelter-nj148/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
60,46665263,LAYLA,Dog,Rottweiler,Female,Adult,https://www.petfinder.com/dog/layla-46665263/mi/flint/genesee-county-animal-control-mi985/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
61,46665329,Tabitha,Cat,Domestic Short Hair,Female,Adult,https://www.petfinder.com/cat/tabitha-46665329/mn/st-paul/animal-humane-society-st-paul-mn426/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
62,46665335,Glasglow,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/glasglow-46665335/nj/mount-holly/burlington-county-animal-shelter-nj148/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
63,46665328,Minx,Cat,Domestic Short Hair,Female,Baby,https://www.petfinder.com/cat/minx-46665328/fl/largo/pinellas-county-animal-services-fl367/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
